location,name,category,price,cost,utility,quantity,total,total_utility,Year,Month,Day_name,Day,Hour,sale_timestamp
Financial District,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,April,Wednesday,10,5,2024-04-10 05:57:00
Downtown,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,March,Saturday,16,14,2024-03-16 14:34:00
University District,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,February,Friday,23,11,2024-02-23 11:13:00
Suburbs,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,January,Sunday,28,20,2024-01-28 20:46:00
Downtown,Wrap,Food,4.36,2.28,2.08,2,8.72,4.16,2024,February,Sunday,25,15,2024-02-25 15:23:00
University District,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,April,Friday,5,2,2024-04-05 02:09:00
Suburbs,Salad,Food,3.37,1.76,1.61,2,6.74,3.22,2024,January,Wednesday,24,11,2024-01-24 11:12:00
Downtown,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,March,Friday,15,23,2024-03-15 23:38:00
Mall,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,March,Friday,1,21,2024-03-01 21:24:00
Mall,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,February,Wednesday,7,18,2024-02-07 18:01:00
Suburbs,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,January,Friday,26,5,2024-01-26 05:22:00
Downtown,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,April,Tuesday,9,7,2024-04-09 07:00:00
University District,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,February,Wednesday,14,21,2024-02-14 21:07:00
University District,Wrap,Food,4.36,2.28,2.08,2,8.72,4.16,2024,April,Monday,15,17,2024-04-15 17:54:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,March,Tuesday,5,1,2024-03-05 01:08:00
Mall,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,February,Sunday,18,16,2024-02-18 16:22:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,February,Sunday,11,14,2024-02-11 14:03:00
Mall,Brownie,Bakery,2.96,1.55,1.41,3,8.88,4.23,2024,March,Friday,8,1,2024-03-08 01:15:00
Mall,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,March,Sunday,31,9,2024-03-31 09:51:00
University District,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,February,Sunday,25,5,2024-02-25 05:58:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,March,Sunday,17,0,2024-03-17 00:21:00
Financial District,Wrap,Food,4.36,2.28,2.08,3,13.08,6.24,2024,January,Sunday,28,13,2024-01-28 13:02:00
Downtown,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Friday,19,18,2024-01-19 18:30:00
Mall,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,January,Sunday,28,16,2024-01-28 16:10:00
Downtown,Americano,Coffee,4.69,2.45,2.24,3,14.07,6.72,2024,March,Sunday,31,0,2024-03-31 00:03:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,4,9.04,4.32,2024,March,Wednesday,27,16,2024-03-27 16:25:00
Suburbs,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,February,Thursday,29,5,2024-02-29 05:28:00
Financial District,Croissant,Bakery,6.36,3.32,3.04,4,25.44,12.16,2024,January,Thursday,25,13,2024-01-25 13:57:00
Financial District,Latte,Coffee,6.28,3.28,3.0,5,31.4,15.0,2024,February,Thursday,8,22,2024-02-08 22:54:00
Mall,Bagel,Bakery,2.09,1.09,1.0,1,2.09,1.0,2024,March,Sunday,3,22,2024-03-03 22:40:00
Financial District,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,April,Monday,15,8,2024-04-15 08:08:00
Mall,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,April,Friday,5,15,2024-04-05 15:33:00
University District,Tea,Drink,3.31,1.73,1.58,3,9.93,4.74,2024,April,Friday,19,2,2024-04-19 02:39:00
Mall,Flat White,Coffee,2.7,1.41,1.29,3,8.1,3.87,2024,April,Sunday,28,3,2024-04-28 03:15:00
Financial District,Americano,Coffee,4.69,2.45,2.24,3,14.07,6.72,2024,February,Monday,12,14,2024-02-12 14:58:00
Downtown,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,January,Friday,19,0,2024-01-19 00:23:00
Financial District,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,January,Wednesday,24,22,2024-01-24 22:47:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,February,Wednesday,21,22,2024-02-21 22:09:00
Financial District,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,February,Saturday,17,22,2024-02-17 22:23:00
University District,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,April,Thursday,18,1,2024-04-18 01:51:00
Mall,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Monday,19,13,2024-02-19 13:40:00
Suburbs,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,April,Monday,29,20,2024-04-29 20:31:00
Mall,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,January,Monday,8,22,2024-01-08 22:16:00
Mall,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,January,Tuesday,16,20,2024-01-16 20:59:00
Financial District,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,March,Friday,1,23,2024-03-01 23:09:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,March,Wednesday,13,18,2024-03-13 18:06:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,January,Saturday,13,15,2024-01-13 15:04:00
University District,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,January,Saturday,20,8,2024-01-20 08:06:00
University District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,January,Tuesday,30,16,2024-01-30 16:51:00
Downtown,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,March,Friday,1,9,2024-03-01 09:55:00
Downtown,Cheesecake,Bakery,2.82,1.47,1.35,4,11.28,5.4,2024,April,Thursday,11,18,2024-04-11 18:50:00
Financial District,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,February,Sunday,18,11,2024-02-18 11:18:00
University District,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,January,Tuesday,23,20,2024-01-23 20:34:00
Suburbs,Americano,Coffee,4.69,2.45,2.24,2,9.38,4.48,2024,March,Sunday,31,6,2024-03-31 06:02:00
Downtown,Macchiato,Coffee,2.26,1.18,1.08,3,6.78,3.24,2024,February,Thursday,1,14,2024-02-01 14:20:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,April,Thursday,25,5,2024-04-25 05:57:00
Downtown,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,January,Saturday,27,12,2024-01-27 12:55:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,February,Wednesday,14,16,2024-02-14 16:00:00
University District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,March,Saturday,16,19,2024-03-16 19:19:00
Suburbs,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Sunday,21,18,2024-01-21 18:44:00
Suburbs,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,February,Tuesday,13,19,2024-02-13 19:53:00
Financial District,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Monday,1,5,2024-01-01 05:18:00
Downtown,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,February,Saturday,24,1,2024-02-24 01:39:00
University District,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,April,Friday,5,0,2024-04-05 00:21:00
Financial District,Latte,Coffee,6.28,3.28,3.0,2,12.56,6.0,2024,March,Saturday,9,10,2024-03-09 10:38:00
Financial District,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,April,Sunday,7,15,2024-04-07 15:20:00
Mall,Cheesecake,Bakery,2.82,1.47,1.35,3,8.46,4.05,2024,January,Monday,15,21,2024-01-15 21:21:00
Downtown,Brownie,Bakery,2.96,1.55,1.41,2,5.92,2.82,2024,April,Saturday,6,22,2024-04-06 22:38:00
University District,Flat White,Coffee,2.7,1.41,1.29,3,8.1,3.87,2024,April,Friday,26,19,2024-04-26 19:53:00
University District,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,January,Monday,1,17,2024-01-01 17:24:00
University District,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,February,Saturday,24,9,2024-02-24 09:01:00
Downtown,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,April,Saturday,13,15,2024-04-13 15:27:00
University District,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,January,Monday,1,16,2024-01-01 16:01:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,4,21.16,10.12,2024,March,Thursday,14,11,2024-03-14 11:40:00
Suburbs,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,January,Friday,12,18,2024-01-12 18:53:00
Downtown,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,January,Wednesday,31,3,2024-01-31 03:13:00
University District,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,March,Monday,11,8,2024-03-11 08:13:00
Mall,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,January,Saturday,27,16,2024-01-27 16:33:00
Mall,Sandwich,Food,2.83,1.48,1.35,2,5.66,2.7,2024,February,Sunday,18,15,2024-02-18 15:57:00
Mall,Salad,Food,3.37,1.76,1.61,3,10.11,4.83,2024,April,Monday,22,7,2024-04-22 07:50:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,4,9.04,4.32,2024,January,Saturday,13,17,2024-01-13 17:44:00
Mall,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,April,Sunday,7,3,2024-04-07 03:58:00
University District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,April,Wednesday,24,12,2024-04-24 12:38:00
University District,Americano,Coffee,4.69,2.45,2.24,2,9.38,4.48,2024,March,Friday,15,21,2024-03-15 21:31:00
Mall,Iced Mocha,Coffee,5.19,2.71,2.48,5,25.95,12.4,2024,February,Monday,19,0,2024-02-19 00:05:00
Financial District,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,February,Saturday,10,20,2024-02-10 20:02:00
Mall,Salad,Food,3.37,1.76,1.61,3,10.11,4.83,2024,January,Friday,12,7,2024-01-12 07:12:00
Financial District,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,March,Sunday,3,0,2024-03-03 00:26:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,3,8.1,3.87,2024,March,Thursday,28,14,2024-03-28 14:42:00
Downtown,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,January,Wednesday,10,2,2024-01-10 02:24:00
University District,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,April,Friday,12,0,2024-04-12 00:47:00
Suburbs,Iced Mocha,Coffee,5.19,2.71,2.48,3,15.57,7.44,2024,April,Saturday,27,1,2024-04-27 01:56:00
University District,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,March,Monday,25,1,2024-03-25 01:43:00
University District,Muffin,Bakery,5.75,3.0,2.75,2,11.5,5.5,2024,February,Friday,16,3,2024-02-16 03:35:00
Suburbs,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,January,Tuesday,30,15,2024-01-30 15:46:00
University District,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Wednesday,24,23,2024-01-24 23:26:00
Suburbs,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,April,Sunday,7,12,2024-04-07 12:35:00
University District,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,February,Sunday,4,9,2024-02-04 09:11:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,February,Friday,9,9,2024-02-09 09:38:00
Financial District,Americano,Coffee,4.69,2.45,2.24,2,9.38,4.48,2024,February,Sunday,25,9,2024-02-25 09:51:00
University District,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Tuesday,2,0,2024-01-02 00:00:00
Financial District,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,March,Saturday,16,23,2024-03-16 23:35:00
Mall,Sandwich,Food,2.83,1.48,1.35,6,16.98,8.1,2024,March,Sunday,24,14,2024-03-24 14:00:00
University District,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,January,Monday,1,9,2024-01-01 09:15:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,March,Friday,15,19,2024-03-15 19:29:00
Suburbs,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,February,Friday,23,22,2024-02-23 22:08:00
Downtown,Muffin,Bakery,5.75,3.0,2.75,5,28.75,13.75,2024,March,Friday,29,3,2024-03-29 03:19:00
Financial District,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,January,Tuesday,2,1,2024-01-02 01:35:00
Suburbs,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,April,Thursday,11,9,2024-04-11 09:23:00
Downtown,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,March,Sunday,24,4,2024-03-24 04:13:00
Downtown,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,January,Wednesday,31,17,2024-01-31 17:42:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,March,Monday,4,5,2024-03-04 05:01:00
Suburbs,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,January,Thursday,18,1,2024-01-18 01:47:00
Downtown,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,March,Saturday,9,22,2024-03-09 22:43:00
Downtown,Cold Brew,Coffee,5.9,3.08,2.82,2,11.8,5.64,2024,April,Tuesday,23,23,2024-04-23 23:12:00
Financial District,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,February,Thursday,1,15,2024-02-01 15:03:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,March,Saturday,2,22,2024-03-02 22:17:00
Downtown,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,April,Friday,19,11,2024-04-19 11:25:00
Mall,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,February,Monday,19,2,2024-02-19 02:00:00
Suburbs,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,March,Saturday,23,20,2024-03-23 20:41:00
Mall,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,April,Tuesday,2,4,2024-04-02 04:40:00
Financial District,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,March,Tuesday,19,21,2024-03-19 21:44:00
Mall,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,February,Tuesday,27,23,2024-02-27 23:55:00
University District,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,January,Tuesday,23,2,2024-01-23 02:03:00
Suburbs,Bagel,Bakery,2.09,1.09,1.0,2,4.18,2.0,2024,April,Friday,12,5,2024-04-12 05:46:00
Downtown,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,March,Friday,22,21,2024-03-22 21:30:00
Mall,Bagel,Bakery,2.09,1.09,1.0,2,4.18,2.0,2024,January,Wednesday,17,15,2024-01-17 15:58:00
Mall,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,March,Sunday,31,5,2024-03-31 05:44:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,January,Friday,5,0,2024-01-05 00:26:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,February,Sunday,11,0,2024-02-11 00:19:00
Financial District,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,March,Wednesday,6,14,2024-03-06 14:10:00
Mall,Tea,Drink,3.31,1.73,1.58,2,6.62,3.16,2024,April,Thursday,18,22,2024-04-18 22:09:00
Mall,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,February,Wednesday,21,9,2024-02-21 09:04:00
University District,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,January,Friday,19,20,2024-01-19 20:19:00
University District,Muffin,Bakery,5.75,3.0,2.75,2,11.5,5.5,2024,April,Wednesday,17,9,2024-04-17 09:33:00
Mall,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,January,Saturday,20,10,2024-01-20 10:33:00
University District,Muffin,Bakery,5.75,3.0,2.75,5,28.75,13.75,2024,January,Tuesday,30,4,2024-01-30 04:48:00
Mall,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,April,Tuesday,9,23,2024-04-09 23:55:00
Suburbs,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,April,Wednesday,10,2,2024-04-10 02:36:00
Financial District,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,February,Tuesday,27,16,2024-02-27 16:56:00
University District,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,April,Tuesday,16,16,2024-04-16 16:39:00
Mall,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,January,Sunday,14,12,2024-01-14 12:41:00
University District,Sandwich,Food,2.83,1.48,1.35,3,8.49,4.05,2024,March,Friday,8,17,2024-03-08 17:52:00
Financial District,Muffin,Bakery,5.75,3.0,2.75,2,11.5,5.5,2024,January,Monday,8,22,2024-01-08 22:22:00
Suburbs,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,February,Friday,16,17,2024-02-16 17:00:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,February,Saturday,17,8,2024-02-17 08:04:00
Downtown,Mocha,Coffee,2.7,1.41,1.29,3,8.1,3.87,2024,February,Thursday,8,9,2024-02-08 09:36:00
University District,Bagel,Bakery,2.09,1.09,1.0,2,4.18,2.0,2024,January,Saturday,20,8,2024-01-20 08:35:00
Mall,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,January,Saturday,13,7,2024-01-13 07:34:00
Financial District,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,February,Monday,5,21,2024-02-05 21:40:00
Suburbs,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,January,Wednesday,10,13,2024-01-10 13:46:00
Suburbs,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,March,Wednesday,27,6,2024-03-27 06:58:00
Suburbs,Latte,Coffee,6.28,3.28,3.0,2,12.56,6.0,2024,February,Wednesday,7,18,2024-02-07 18:35:00
Downtown,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,March,Thursday,21,7,2024-03-21 07:45:00
Financial District,Cold Brew,Coffee,5.9,3.08,2.82,2,11.8,5.64,2024,March,Friday,1,17,2024-03-01 17:43:00
Downtown,Bagel,Bakery,2.09,1.09,1.0,2,4.18,2.0,2024,February,Wednesday,14,23,2024-02-14 23:23:00
University District,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,March,Friday,1,22,2024-03-01 22:53:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,March,Monday,11,21,2024-03-11 21:16:00
Financial District,Muffin,Bakery,5.75,3.0,2.75,2,11.5,5.5,2024,January,Thursday,25,12,2024-01-25 12:21:00
Suburbs,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,March,Thursday,21,23,2024-03-21 23:02:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,February,Sunday,11,11,2024-02-11 11:24:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,February,Saturday,10,22,2024-02-10 22:56:00
Downtown,Tea,Drink,3.31,1.73,1.58,4,13.24,6.32,2024,January,Tuesday,16,2,2024-01-16 02:15:00
Suburbs,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,March,Sunday,10,16,2024-03-10 16:24:00
Financial District,Wrap,Food,4.36,2.28,2.08,4,17.44,8.32,2024,February,Tuesday,27,23,2024-02-27 23:25:00
Financial District,Sandwich,Food,2.83,1.48,1.35,2,5.66,2.7,2024,January,Monday,15,5,2024-01-15 05:49:00
University District,Croissant,Bakery,6.36,3.32,3.04,3,19.08,9.12,2024,March,Wednesday,6,22,2024-03-06 22:14:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,April,Thursday,25,17,2024-04-25 17:59:00
University District,Macchiato,Coffee,2.26,1.18,1.08,1,2.26,1.08,2024,March,Tuesday,19,17,2024-03-19 17:22:00
University District,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,February,Tuesday,6,11,2024-02-06 11:40:00
University District,Muffin,Bakery,5.75,3.0,2.75,3,17.25,8.25,2024,April,Monday,29,10,2024-04-29 10:56:00
University District,Bagel,Bakery,2.09,1.09,1.0,1,2.09,1.0,2024,January,Sunday,28,7,2024-01-28 07:08:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,April,Tuesday,9,15,2024-04-09 15:24:00
University District,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,March,Monday,11,4,2024-03-11 04:07:00
Financial District,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,April,Friday,19,21,2024-04-19 21:02:00
University District,Flat White,Coffee,2.7,1.41,1.29,3,8.1,3.87,2024,February,Thursday,22,12,2024-02-22 12:05:00
Downtown,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,April,Tuesday,23,3,2024-04-23 03:04:00
Mall,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,March,Saturday,23,20,2024-03-23 20:39:00
Mall,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,March,Tuesday,26,18,2024-03-26 18:00:00
Mall,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,February,Sunday,18,0,2024-02-18 00:08:00
Suburbs,Cold Brew,Coffee,5.9,3.08,2.82,3,17.7,8.46,2024,February,Monday,26,13,2024-02-26 13:33:00
Financial District,Mocha,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,March,Tuesday,26,18,2024-03-26 18:05:00
Downtown,Salad,Food,3.37,1.76,1.61,4,13.48,6.44,2024,January,Saturday,6,0,2024-01-06 00:38:00
Mall,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,March,Monday,11,4,2024-03-11 04:11:00
Downtown,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,March,Wednesday,27,18,2024-03-27 18:17:00
Downtown,Wrap,Food,4.36,2.28,2.08,3,13.08,6.24,2024,February,Monday,12,7,2024-02-12 07:30:00
Suburbs,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,April,Thursday,4,22,2024-04-04 22:42:00
Mall,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,March,Saturday,23,13,2024-03-23 13:53:00
University District,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,April,Friday,26,21,2024-04-26 21:36:00
Downtown,Wrap,Food,4.36,2.28,2.08,3,13.08,6.24,2024,March,Wednesday,27,4,2024-03-27 04:44:00
Mall,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Saturday,13,8,2024-01-13 08:47:00
Downtown,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,April,Thursday,18,21,2024-04-18 21:04:00
Suburbs,Smoothie,Food,3.94,2.06,1.88,2,7.88,3.76,2024,April,Saturday,20,8,2024-04-20 08:57:00
Suburbs,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,March,Monday,4,1,2024-03-04 01:31:00
University District,Cheesecake,Bakery,2.82,1.47,1.35,4,11.28,5.4,2024,January,Monday,1,19,2024-01-01 19:05:00
Suburbs,Iced Mocha,Coffee,5.19,2.71,2.48,3,15.57,7.44,2024,March,Monday,18,22,2024-03-18 22:33:00
Mall,Sandwich,Food,2.83,1.48,1.35,4,11.32,5.4,2024,April,Friday,5,8,2024-04-05 08:34:00
Suburbs,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,April,Wednesday,10,15,2024-04-10 15:04:00
University District,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,February,Sunday,11,4,2024-02-11 04:48:00
Financial District,Espresso,Coffee,3.69,1.93,1.76,1,3.69,1.76,2024,February,Sunday,25,10,2024-02-25 10:21:00
Downtown,Sandwich,Food,2.83,1.48,1.35,4,11.32,5.4,2024,February,Saturday,3,5,2024-02-03 05:32:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,January,Tuesday,2,9,2024-01-02 09:12:00
Mall,Cappuccino,Coffee,5.29,2.76,2.53,1,5.29,2.53,2024,January,Friday,26,14,2024-01-26 14:50:00
University District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,March,Wednesday,6,12,2024-03-06 12:06:00
University District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,April,Sunday,21,10,2024-04-21 10:26:00
University District,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,March,Wednesday,27,19,2024-03-27 19:47:00
Downtown,Iced Latte,Coffee,4.71,2.46,2.25,1,4.71,2.25,2024,March,Sunday,17,19,2024-03-17 19:14:00
Suburbs,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,February,Thursday,15,9,2024-02-15 09:13:00
Downtown,Mocha,Coffee,2.7,1.41,1.29,3,8.1,3.87,2024,January,Wednesday,17,14,2024-01-17 14:00:00
Downtown,Macchiato,Coffee,2.26,1.18,1.08,2,4.52,2.16,2024,February,Thursday,29,9,2024-02-29 09:20:00
Downtown,Muffin,Bakery,5.75,3.0,2.75,1,5.75,2.75,2024,January,Sunday,21,2,2024-01-21 02:55:00
Suburbs,Tea,Drink,3.31,1.73,1.58,1,3.31,1.58,2024,April,Wednesday,3,19,2024-04-03 19:22:00
Financial District,Muffin,Bakery,5.75,3.0,2.75,2,11.5,5.5,2024,March,Sunday,24,8,2024-03-24 08:03:00
Mall,Macchiato,Coffee,2.26,1.18,1.08,4,9.04,4.32,2024,April,Friday,26,2,2024-04-26 02:00:00
Financial District,Iced Mocha,Coffee,5.19,2.71,2.48,1,5.19,2.48,2024,March,Monday,25,21,2024-03-25 21:17:00
Financial District,Cheesecake,Bakery,2.82,1.47,1.35,2,5.64,2.7,2024,January,Monday,29,4,2024-01-29 04:36:00
Downtown,Flat White,Coffee,2.7,1.41,1.29,3,8.1,3.87,2024,January,Monday,29,5,2024-01-29 05:33:00
Financial District,Mocha,Coffee,2.7,1.41,1.29,2,5.4,2.58,2024,March,Thursday,14,17,2024-03-14 17:32:00
Downtown,Latte,Coffee,6.28,3.28,3.0,2,12.56,6.0,2024,April,Tuesday,23,8,2024-04-23 08:27:00
